Name,DisplayName,Type,Visibility
addressInfo.addressId,Address ID,String,FALSE
addressInfo.cityId,City ID,String,FALSE
addressInfo.country,Country,String,TRUE
addressInfo.countryCode,Country Code,String,TRUE
addressInfo.county,County,String,TRUE
addressInfo.latitude,Latitude,String,TRUE
addressInfo.locality,Locality,String,TRUE
addressInfo.longitude,Longitude,String,TRUE
addressInfo.postZipCode,Zip/Post code,String,TRUE
addressInfo.region,Region,String,TRUE
addressInfo.regionLatitude,Region Latitude,String,TRUE
addressInfo.regionLongitude,Region Longitude,String,TRUE
addressInfo.sitePremises,Premises,String,TRUE
addressInfo.streetName,Street Name,String,TRUE
addressInfo.streetNumber,Street Number,String,TRUE
addressInfo.timezoneId,Time Zone ID,String,TRUE
addressInfo.town,Town,String,TRUE
applicationInfo.id,Application Id,String,FALSE
applicationInfo.name,Application,String,TRUE
applicationInfo.description,Application Description,String,FALSE
connectorInfo.connectorId,Connector,String,TRUE
connectorInfo.type,Connector Type,String,TRUE
connectorList,Connector List,String,TRUE
contractInfo.id,Contract ID,String,FALSE
contractInfo.reference,Contract Info Reference,String,TRUE
correlated,Correlated,Boolean,FALSE
credentialInfo.type,Type,String,TRUE
credentialInfo.key,Key,String,TRUE
credentialInfo.login,Login,String,TRUE
credentialInfo.secret,Secret,String,TRUE
credentialInfo.privilege,Privilege,String,TRUE
credentialInfo.domain,Domain,String,TRUE
credentialInfo.communityString,Community String,String,TRUE
credentialInfo.context,Context,String,TRUE
credentialInfo.securityName,Security Name,String,TRUE
credentialInfo.authProtocol,Auth Protocol,String,TRUE
credentialInfo.authKey,Auth Key,String,TRUE
credentialInfo.privProtocol,Private Protocol,String,TRUE
credentialInfo.privKey,Private Key,String,TRUE
customerGroups,Customer Groups,String,TRUE
customerInfo.id,Customer ID,String,FALSE
customerInfo.name,Customer Name,String,TRUE
customerInfo.shortName,Customer Short Name,String,FALSE
eventInfo.sourceDomainName,Domain Name,String,TRUE
customerInfo.sourceDomainNames,Domain Names,String,FALSE
customerInfo.status,Customer Status,String,TRUE
deviceInfo.assetRecord,Asset Record,String,TRUE
deviceInfo.btssAlias,BTTS Alias,String,TRUE
deviceInfo.cabinet,Cabinet,String,TRUE
deviceInfo.ceaseDate,Cease date,Date,TRUE
deviceInfo.commissionDate,Commission date,Date,TRUE
deviceInfo.cpeIdentifier,CPE Identifier,String,TRUE
deviceInfo.cpeSupplyDetails,CPE Supply Details,String,TRUE
deviceInfo.createDate,Create Date,Date,TRUE
